ID,federalstate,infections,deaths,date
1,Baden-Württemberg,50,0,2020-03-04
2,Bavaria,48,0,2020-03-04
3,Berlin,7,0,2020-03-04
4,Brandenburg,1,0,2020-03-04
5,Bremen,3,0,2020-03-04
6,Hamburg,3,0,2020-03-04
7,Hesse,12,0,2020-03-04
8,Lower Saxony,7,0,2020-03-04
9,Mecklenburg-Western Pomerania,4,0,2020-03-04
10,North Rhine-Westphalia,115,0,2020-03-04
11,Rhineland-Palatinate,7,0,2020-03-04
12,Saarland,1,0,2020-03-04
13,Saxony,1,0,2020-03-04
14,Saxony-Anhalt,0,0,2020-03-04
15,Schleswig-Holstein,2,0,2020-03-04
16,Thuringia,1,0,2020-03-04
17,Baden-Württemberg,73,0,2020-03-05
18,Bavaria,70,0,2020-03-05
19,Berlin,13,0,2020-03-05
20,Brandenburg,1,0,2020-03-05
21,Bremen,3,0,2020-03-05
22,Hamburg,5,0,2020-03-05
23,Hesse,14,0,2020-03-05
24,Lower Saxony,18,0,2020-03-05
25,Mecklenburg-Western Pomerania,4,0,2020-03-05
26,North Rhine-Westphalia,181,0,2020-03-05
27,Rhineland-Palatinate,8,0,2020-03-05
28,Saarland,1,0,2020-03-05
29,Saxony,1,0,2020-03-05
30,Saxony-Anhalt,0,0,2020-03-05
31,Schleswig-Holstein,7,0,2020-03-05
32,Thuringia,1,0,2020-03-05
33,Baden-Württemberg,96,0,2020-03-06
34,Bavaria,117,0,2020-03-06
35,Berlin,19,0,2020-03-06
36,Brandenburg,2,0,2020-03-06
37,Bremen,4,0,2020-03-06
38,Hamburg,11,0,2020-03-06
39,Hesse,16,0,2020-03-06
40,Lower Saxony,18,0,2020-03-06
41,Mecklenburg-Western Pomerania,5,0,2020-03-06
42,North Rhine-Westphalia,329,0,2020-03-06
43,Rhineland-Palatinate,10,0,2020-03-06
44,Saarland,2,0,2020-03-06
45,Saxony,2,0,2020-03-06
46,Saxony-Anhalt,0,0,2020-03-06
47,Schleswig-Holstein,7,0,2020-03-06
48,Thuringia,1,0,2020-03-06
49,Baden-Württemberg,170,0,2020-03-07
50,Bavaria,134,0,2020-03-07
51,Berlin,28,0,2020-03-07
52,Brandenburg,2,0,2020-03-07
53,Bremen,4,0,2020-03-07
54,Hamburg,13,0,2020-03-07
55,Hesse,17,0,2020-03-07
56,Lower Saxony,19,0,2020-03-07
57,Mecklenburg-Western Pomerania,5,0,2020-03-07
58,North Rhine-Westphalia,373,0,2020-03-07
59,Rhineland-Palatinate,13,0,2020-03-07
60,Saarland,3,0,2020-03-07
61,Saxony,4,0,2020-03-07
62,Saxony-Anhalt,0,0,2020-03-07
63,Schleswig-Holstein,8,0,2020-03-07
64,Thuringia,2,0,2020-03-07
65,Baden-Württemberg,182,0,2020-03-08
66,Bavaria,172,0,2020-03-08
67,Berlin,40,0,2020-03-08
68,Brandenburg,4,0,2020-03-08
69,Bremen,4,0,2020-03-08
70,Hamburg,13,0,2020-03-08
71,Hesse,19,0,2020-03-08
72,Lower Saxony,21,0,2020-03-08
73,Mecklenburg-Western Pomerania,8,0,2020-03-08
74,North Rhine-Westphalia,398,0,2020-03-08
75,Rhineland-Palatinate,19,0,2020-03-08
76,Saarland,9,0,2020-03-08
77,Saxony,4,0,2020-03-08
78,Saxony-Anhalt,0,0,2020-03-08
79,Schleswig-Holstein,7,0,2020-03-08
80,Thuringia,2,0,2020-03-08
81,Baden-Württemberg,204,0,2020-03-09
82,Bavaria,256,0,2020-03-09
83,Berlin,48,0,2020-03-09
84,Brandenburg,6,0,2020-03-09
85,Bremen,4,0,2020-03-09
86,Hamburg,17,0,2020-03-09
87,Hesse,26,0,2020-03-09
88,Lower Saxony,38,0,2020-03-09
89,Mecklenburg-Western Pomerania,10,0,2020-03-09
90,North Rhine-Westphalia,484,0,2020-03-09
91,Rhineland-Palatinate,17,0,2020-03-09
92,Saarland,6,0,2020-03-09
93,Saxony,12,0,2020-03-09
94,Saxony-Anhalt,0,0,2020-03-09
95,Schleswig-Holstein,9,0,2020-03-09
96,Thuringia,2,0,2020-03-09
97,Baden-Württemberg,237,0,2020-03-10
98,Bavaria,314,0,2020-03-10
99,Berlin,48,0,2020-03-10
100,Brandenburg,9,0,2020-03-10
101,Bremen,4,0,2020-03-10
102,Hamburg,29,0,2020-03-10
103,Hesse,35,0,2020-03-10
104,Lower Saxony,49,0,2020-03-10
105,Mecklenburg-Western Pomerania,13,0,2020-03-10
106,North Rhine-Westphalia,484,0,2020-03-10
107,Rhineland-Palatinate,25,0,2020-03-10
108,Saarland,7,0,2020-03-10
109,Saxony,22,0,2020-03-10
110,Saxony-Anhalt,7,0,2020-03-10
111,Schleswig-Holstein,9,0,2020-03-10
112,Thuringia,4,0,2020-03-10
113,Baden-Württemberg,277,0,2020-03-11
114,Bavaria,366,0,2020-03-11
115,Berlin,90,0,2020-03-11
116,Brandenburg,24,0,2020-03-11
117,Bremen,21,0,2020-03-11
118,Hamburg,48,0,2020-03-11
119,Hesse,48,0,2020-03-11
120,Lower Saxony,75,0,2020-03-11
121,Mecklenburg-Western Pomerania,17,0,2020-03-11
122,North Rhine-Westphalia,484,0,2020-03-11
123,Rhineland-Palatinate,25,0,2020-03-11
124,Saarland,14,0,2020-03-11
125,Saxony,26,0,2020-03-11
126,Saxony-Anhalt,15,0,2020-03-11
127,Schleswig-Holstein,27,0,2020-03-11
128,Thuringia,10,0,2020-03-11
129,Baden-Württemberg,454,0,2020-03-12
130,Bavaria,500,0,2020-03-12
131,Berlin,137,0,2020-03-12
132,Brandenburg,30,0,2020-03-12
133,Bremen,38,0,2020-03-12
134,Hamburg,88,0,2020-03-12
135,Hesse,99,0,2020-03-12
136,Lower Saxony,129,0,2020-03-12
137,Mecklenburg-Western Pomerania,23,0,2020-03-12
138,North Rhine-Westphalia,688,0,2020-03-12
139,Rhineland-Palatinate,52,0,2020-03-12
140,Saarland,14,0,2020-03-12
141,Saxony,45,0,2020-03-12
142,Saxony-Anhalt,27,0,2020-03-12
143,Schleswig-Holstein,31,0,2020-03-12
144,Thuringia,14,0,2020-03-12
145,Baden-Württemberg,454,0,2020-03-13
146,Bavaria,558,0,2020-03-13
147,Berlin,174,0,2020-03-13
148,Brandenburg,44,0,2020-03-13
149,Bremen,42,0,2020-03-13
150,Hamburg,99,0,2020-03-13
151,Hesse,148,0,2020-03-13
152,Lower Saxony,230,0,2020-03-13
153,Mecklenburg-Western Pomerania,33,0,2020-03-13
154,North Rhine-Westphalia,936,0,2020-03-13
155,Rhineland-Palatinate,102,0,2020-03-13
156,Saarland,40,0,2020-03-13
157,Saxony,83,0,2020-03-13
158,Saxony-Anhalt,42,0,2020-03-13
159,Schleswig-Holstein,48,0,2020-03-13
160,Thuringia,29,0,2020-03-13
161,Baden-Württemberg,569,0,2020-03-14
162,Bavaria,681,0,2020-03-14
163,Berlin,216,0,2020-03-14
164,Brandenburg,61,0,2020-03-14
165,Bremen,50,0,2020-03-14
166,Hamburg,158,0,2020-03-14
167,Hesse,203,0,2020-03-14
168,Lower Saxony,253,0,2020-03-14
169,Mecklenburg-Western Pomerania,45,0,2020-03-14
170,North Rhine-Westphalia,1154,0,2020-03-14
171,Rhineland-Palatinate,121,0,2020-03-14
172,Saarland,40,0,2020-03-14
173,Saxony,93,0,2020-03-14
174,Saxony-Anhalt,45,0,2020-03-14
175,Schleswig-Holstein,60,0,2020-03-14
176,Thuringia,46,0,2020-03-14
177,Baden-Württemberg,827,0,2020-03-15
178,Bavaria,886,0,2020-03-15
179,Berlin,265,0,2020-03-15
180,Brandenburg,84,0,2020-03-15
181,Bremen,53,0,2020-03-15
182,Hamburg,162,0,2020-03-15
183,Hesse,286,0,2020-03-15
184,Lower Saxony,287,0,2020-03-15
185,Mecklenburg-Western Pomerania,50,0,2020-03-15
186,North Rhine-Westphalia,1407,0,2020-03-15
187,Rhineland-Palatinate,168,0,2020-03-15
188,Saarland,32,0,2020-03-15
189,Saxony,130,0,2020-03-15
190,Saxony-Anhalt,47,0,2020-03-15
191,Schleswig-Holstein,103,0,2020-03-15
192,Thuringia,51,0,2020-03-15
193,Baden-Württemberg,1105,0,2020-03-16
194,Bavaria,1067,0,2020-03-16
195,Berlin,300,0,2020-03-16
196,Brandenburg,94,0,2020-03-16
197,Bremen,56,0,2020-03-16
198,Hamburg,260,0,2020-03-16
199,Hesse,342,0,2020-03-16
200,Lower Saxony,391,0,2020-03-16
201,Mecklenburg-Western Pomerania,51,0,2020-03-16
202,North Rhine-Westphalia,1541,0,2020-03-16
203,Rhineland-Palatinate,325,0,2020-03-16
204,Saarland,85,0,2020-03-16
205,Saxony,140,0,2020-03-16
206,Saxony-Anhalt,77,0,2020-03-16
207,Schleswig-Holstein,123,0,2020-03-16
208,Thuringia,55,0,2020-03-16
209,Baden-Württemberg,1479,2,2020-03-17
210,Bavaria,1109,4,2020-03-17
211,Berlin,345,0,2020-03-17
212,Brandenburg,73,0,2020-03-17
213,Bremen,57,0,2020-03-17
214,Hamburg,310,0,2020-03-17
215,Hesse,373,0,2020-03-17
216,Lower Saxony,325,0,2020-03-17
217,Mecklenburg-Western Pomerania,45,0,2020-03-17
218,North Rhine-Westphalia,2105,6,2020-03-17
219,Rhineland-Palatinate,442,0,2020-03-17
220,Saarland,75,0,2020-03-17
221,Saxony,182,0,2020-03-17
222,Saxony-Anhalt,58,0,2020-03-17
223,Schleswig-Holstein,127,0,2020-03-17
224,Thuringia,51,0,2020-03-17
225,Baden-Württemberg,1609,2,2020-03-18
226,Bavaria,1243,4,2020-03-18
